filename,category,folder_path,source_url,description,document_type,date_downloaded,file_size_kb
India_Environment_Protection_Act_1986.pdf,regulatory,corpus/regulatory/India_Environment_Protection_Act_1986.pdf,https://forest.goa.gov.in/sites/default/files/2022-06/epa.pdf,Environment Protection Act 1986 India - framework legislation for environmental protection in industrial operations,AUTHORITATIVE,2026-07-20,59
India_Environment_Protection_Rules.pdf,regulatory,corpus/regulatory/India_Environment_Protection_Rules.pdf,https://cpc.parivesh.nic.in/writereaddata/ENV/THE%20ENVIRONMENT.pdf,Environment Protection Rules under EPA 1986 - standards and procedures for industrial environmental compliance,AUTHORITATIVE,2026-07-20,121
India_EPA_NHSRC.pdf,regulatory,corpus/regulatory/India_EPA_NHSRC.pdf,https://qps.nhsrcindia.org/sites/default/files/2022-01/THE%20ENVIRONMENT%20(PROTECTION%20ACT),1986..pdf,Environment Protection Act 1986 NHSRC hosted version with full chapter text,AUTHORITATIVE,2026-07-20,49
PESO_Petroleum_Rules_2002_SOP.pdf,regulatory,corpus/regulatory/PESO_Petroleum_Rules_2002_SOP.pdf,http://www.peso.gov.in/sites/default/files/2025-01/Petroleum%20Rules%202002%20-%20SOP.pdf,PESO Standard Operating Procedures under Petroleum Rules 2002 covering import transport storage and handling of petroleum in India,AUTHORITATIVE,2026-07-20,942
PESO_Circular_PressureVessel_2025.pdf,regulatory,corpus/regulatory/PESO_Circular_PressureVessel_2025.pdf,https://www.peso.gov.in/sites/default/files/2025-03/CIRCULAR-19-03-2025.pdf,PESO Circular 2025 on implementation of SIT recommendations for pressure vessel fabrication inspection under SMPV(U) Rules 2016,AUTHORITATIVE,2026-07-20,982
PESO_Guidelines_Inspection_Explosives_Van.pdf,regulatory,corpus/regulatory/PESO_Guidelines_Inspection_Explosives_Van.pdf,https://peso.gov.in/web/sites/default/files/2019-12/guidelines-inspection-explosives-van.pdf,PESO guidelines for safe inspection of explosives magazines and vans covering storage safety for petroleum and explosive facilities,AUTHORITATIVE,2026-07-20,20
PESO_Annual_Report_2020_21.pdf,regulatory,corpus/regulatory/PESO_Annual_Report_2020_21.pdf,https://www.peso.gov.in/sites/default/files/2022-01/Annual%20Report%202020-21Final%20for%20upload.pdf,PESO Annual Report 2020-21 covering petroleum and explosives safety activities statistics and regulatory enforcement,AUTHORITATIVE,2026-07-20,2353
PESO_Annual_Report_2023_24.pdf,regulatory,corpus/regulatory/PESO_Annual_Report_2023_24.pdf,http://peso.gov.in/sites/default/files/2024-09/Final%20Annual%20Report%202023-2024%20%20for%20%20upload.pdf,PESO Annual Report 2023-24 with latest activities certification statistics and regulatory updates for India,AUTHORITATIVE,2026-07-20,3308
OISD_STD_144.pdf,regulatory,corpus/regulatory/OISD_STD_144.pdf,https://www.oisd.gov.in/public/assets/filemanager/1757591986_29a94a0c95586b1f291c.pdf,OISD Standard 144 - Oil Industry Safety Directorate standard for the oil and gas sector in India (official oisd.gov.in),AUTHORITATIVE,2026-07-20,3238
OISD_STD_117_Emergency_Siren_Codes.pdf,regulatory,corpus/regulatory/OISD_STD_117_Emergency_Siren_Codes.pdf,https://www.oisd.gov.in/public/assets/filemanager/1742541288_12b26a76ba4cf706298b.pdf,OISD STD-117 Updation on emergency siren codes and classification of emergencies for oil and gas installations,AUTHORITATIVE,2026-07-20,633
OISD_STD_152_Safety_Instrumentation.pdf,regulatory,corpus/regulatory/OISD_STD_152_Safety_Instrumentation.pdf,https://www.oisd.gov.in/public/assets/filemanager/1742541479_1f041f6ec20c4a61214a.pdf,OISD STD-152 Updation on safety instrumentation for process systems in the hydrocarbon industry,AUTHORITATIVE,2026-07-20,646
OISD_FireExtinguisher_Checklist.pdf,regulatory,corpus/regulatory/OISD_FireExtinguisher_Checklist.pdf,https://www.oisd.gov.in/public/assets/filemanager/1770096558_7738223a3ea08e6e73ae.pdf,OISD fire extinguisher inspection checklist covering maintenance and compliance check requirements for oil/gas facility fire equipment,AUTHORITATIVE,2026-07-20,62
OISD_Newsletter_101.pdf,regulatory,corpus/regulatory/OISD_Newsletter_101.pdf,https://www.oisd.gov.in/public/assets/upload/Publications/1743074147_7240d82bb77c1b5fd67c.pdf,OISD Newsletter Issue 101 covering predictive maintenance inspection best practices and safety learnings in Indian oil and gas industry,AUTHORITATIVE,2026-07-20,2719
OISD_Newsletter_Vol6.pdf,regulatory,corpus/regulatory/OISD_Newsletter_Vol6.pdf,https://www.oisd.gov.in/public/assets/upload/Publications/1717002653_ea6dbed8e204db92bfa5.pdf,OISD Newsletter Vol 6 on safety culture ageing assets and knowledge management topics in Indian petroleum sector,AUTHORITATIVE,2026-07-20,2483
OISD_Newsletter_Vol7_Issue1.pdf,regulatory,corpus/regulatory/OISD_Newsletter_Vol7_Issue1.pdf,https://www.oisd.gov.in/public/assets/upload/Publications/1717002653_ea6dbed8e204db92bfa5.pdf,OISD Newsletter Vol 7 Issue 1 with incident learnings and HSE updates for Indian oil industry,AUTHORITATIVE,2026-07-20,2483
OISD_SurakshaSamvad_2025.pdf,regulatory,corpus/regulatory/OISD_SurakshaSamvad_2025.pdf,https://www.oisd.gov.in/public/assets/upload/SurakshaSamvad/1765366497_6007f821e403ccf51a9b.pdf,OISD Suraksha Samvad 2025 seminar presentation covering tank and storage safety standards dialogue,AUTHORITATIVE,2026-07-20,555
OISD_SurakshaSamvad_Refinery_Maint.pdf,regulatory,corpus/regulatory/OISD_SurakshaSamvad_Refinery_Maint.pdf,https://www.oisd.gov.in/public/assets/upload/SurakshaSamvad/1760691062_d0a3c504208149ecbb7f.pdf,OISD Suraksha Samvad refinery maintenance presentation from MRPL/IOCL General Manager Maintenance,AUTHORITATIVE,2026-07-20,585
OISD_SurakshaSamvad_Seminar_Presentation.pdf,regulatory,corpus/regulatory/OISD_SurakshaSamvad_Seminar_Presentation.pdf,https://www.oisd.gov.in/public/assets/upload/SurakshaSamvad/1760691062_d0a3c504208149ecbb7f.pdf,OISD Suraksha Samvad seminar presentation on safety and maintenance standards for Indian petroleum installations,AUTHORITATIVE,2026-07-20,585
OISD_Latest_Notification_2026.pdf,regulatory,corpus/regulatory/OISD_Latest_Notification_2026.pdf,https://www.oisd.gov.in/public/assets/upload/LatestNotification/1770718888_06e130ba86cc5fcf6e4d.pdf,OISD Latest Notification 2026 with current regulatory updates and safety directives for oil and gas industry,AUTHORITATIVE,2026-07-20,1339
OISD_Training_Brochure_2019.pdf,maintenance_data,corpus/maintenance_data/OISD_Training_Brochure_2019.pdf,https://www.oisd.gov.in/public/assets/upload/Publications/1717003707_b1d050d65db7a24f3c02.pdf,OISD Training Brochure Jan-Jun 2019 covering safety training programmes and Oil Industry Safety Awards,AUTHORITATIVE,2026-07-20,6738
DGMS_Circular_02_Legis_2017.pdf,regulatory,corpus/regulatory/DGMS_Circular_02_Legis_2017.pdf,https://www.dgms.gov.in/writereaddata/UploadFile/Cir_02_Legis_2017.pdf,DGMS Legislative Circular 02/2017 on mining safety compliance directive from Directorate General of Mines Safety,AUTHORITATIVE,2026-07-20,210
DGMS_Circular_03_Legis_2017.pdf,regulatory,corpus/regulatory/DGMS_Circular_03_Legis_2017.pdf,https://dgms.gov.in/writereaddata/UploadFile/Cir_03_Legis_2017.pdf,DGMS Legislative Circular 03/2017 covering equipment and operational safety in Indian mines,AUTHORITATIVE,2026-07-20,213
DGMS_Draft_Standards_Diesel_Equipment.pdf,regulatory,corpus/regulatory/DGMS_Draft_Standards_Diesel_Equipment.pdf,https://www.dgms.gov.in/writereaddata/UploadFile/Draft_Standards_Diesel_Equipment.pdf,DGMS Draft Standards for Diesel Equipment in mines - specifications for diesel-powered equipment safety in mining operations,AUTHORITATIVE,2026-07-20,513
DGMS_Glance_2023.pdf,regulatory,corpus/regulatory/DGMS_Glance_2023.pdf,https://www.dgms.gov.in/writereaddata/Content/DGMSGLANCE2023.pdf,DGMS at a Glance 2023 - annual statistics and overview of mines safety enforcement across India,AUTHORITATIVE,2026-07-20,1454
DGMS_Glance_2026.pdf,regulatory,corpus/regulatory/DGMS_Glance_2026.pdf,https://dgms.gov.in/writereaddata/UploadFile/DGMS_GLANCE_07012026.pdf,DGMS at a Glance 2026 - latest mines safety statistics and enforcement activities,AUTHORITATIVE,2026-07-20,466
DGMS_Glance_Report_2026.pdf,regulatory,corpus/regulatory/DGMS_Glance_Report_2026.pdf,https://dgms.gov.in/writereaddata/UploadFile/DGMS_GLANCE_07012026.pdf,DGMS Glance Report 2026 with regulatory overview accident statistics and safety directives for Indian mining sector,AUTHORITATIVE,2026-07-20,466
DGMS_Merged_Circulars.pdf,regulatory,corpus/regulatory/DGMS_Merged_Circulars.pdf,https://www.dgms.gov.in/writereaddata/UploadFile/Merged_Circular_1.pdf,DGMS Merged Circulars - compilation of safety circulars covering employment rules and general safety directives for mines,AUTHORITATIVE,2026-07-20,1682
DGMS_Technical_Circulars.pdf,regulatory,corpus/regulatory/DGMS_Technical_Circulars.pdf,https://www.dgms.gov.in/writereaddata/UploadFile/TC.pdf,DGMS Technical Circulars with safety directives for equipment operations and hazard control in Indian mines,AUTHORITATIVE,2026-07-20,785
DGMS_Safety_Alert_June2024.pdf,regulatory,corpus/regulatory/DGMS_Safety_Alert_June2024.pdf,https://www.dgms.gov.in/writereaddata/UploadFile/seftyalertfatalaccident_06062024.pdf,DGMS Safety Alert 12/2024 on fatal accident at stone mine due to fall from height with lessons learned and preventive measures,AUTHORITATIVE,2026-07-20,290
CSB_BP_Texas_City_Investigation_Digest.pdf,incident_reports,corpus/incident_reports/CSB_BP_Texas_City_Investigation_Digest.pdf,https://www.csb.gov/assets/1/6/CSB_BPTC_Investigation_Digest_v3_(004).pdf,CSB Investigation Digest for BP Texas City Refinery Explosion 2005 - 15 fatalities 180 injuries with root cause analysis and lessons learned,AUTHORITATIVE,2026-07-20,6218
CSB_ExxonMobil_Investigation_Report.pdf,incident_reports,corpus/incident_reports/CSB_ExxonMobil_Investigation_Report.pdf,https://www.csb.gov/assets/1/20/ExxonMobil_Report_FOR_PUBLIC_RELEASE.pdf,CSB Investigation Report for ExxonMobil refinery incident - formal final report with root causes findings and safety recommendations,AUTHORITATIVE,2026-07-20,5589
CSB_Motiva_Final_Report.pdf,incident_reports,corpus/incident_reports/CSB_Motiva_Final_Report.pdf,https://www.csb.gov/assets/1/20/Motiva_Final_Report.pdf,CSB Final Investigation Report for Motiva Enterprises refinery - 1 killed 8 injured sulfuric acid release with offsite environmental impact,AUTHORITATIVE,2026-07-20,2415
CSB_Tosco_Avon_Refinery_Final_Report.pdf,incident_reports,corpus/incident_reports/CSB_Tosco_Avon_Refinery_Final_Report.pdf,https://www.csb.gov/assets/1/20/tosco_final_report.pdf,CSB Final Report for Tosco Avon Refinery 1999 - 4 workers killed with root causes in corrosion control management of change and nonroutine maintenance,AUTHORITATIVE,2026-07-20,1306
CSB_Incident_Reports_Volume_1_2025.pdf,incident_reports,corpus/incident_reports/CSB_Incident_Reports_Volume_1_2025.pdf,https://www.csb.gov/assets/1/6/CSB_Incident_Reports_Volume_One_2025-01-14_Rev_1.pdf,CSB Incident Reports Volume 1 2025 - compilation of chemical incident investigations including Phillips 66 refinery fire January 2023,AUTHORITATIVE,2026-07-20,7652
CSB_Incident_Reports_Volume_4_2026.pdf,incident_reports,corpus/incident_reports/CSB_Incident_Reports_Volume_4_2026.pdf,https://www.csb.gov/assets/1/6/incident_reports_volume_4_2026-02-18.pdf,CSB Incident Reports Volume 4 2026 - multi-incident compilation including events with fatalities and significant property damage,AUTHORITATIVE,2026-07-20,5992
CSB_PES_Final_Report_2022.pdf,incident_reports,corpus/incident_reports/CSB_PES_Final_Report_2022.pdf,https://www.csb.gov/assets/1/6/pes_final_report_published_october_2022.pdf,CSB Final Investigation Report October 2022 for accidental chemical release with fatality and property damage findings,AUTHORITATIVE,2026-07-20,7328
CSB_Chevron_Richmond_Interim_Report_2013.pdf,incident_reports,corpus/incident_reports/CSB_Chevron_Richmond_Interim_Report_2013.pdf,https://www.csb.gov/assets/1/20/chevron_interim_report_final_2013-04-17.pdf,CSB Interim Report for Chevron Richmond Refinery Fire 2012 - pipe failure due to sulfidation corrosion affecting 15000 community members,AUTHORITATIVE,2026-07-20,1482
CSB_Chevron_Richmond_Regulatory_Report_2014.pdf,incident_reports,corpus/incident_reports/CSB_Chevron_Richmond_Regulatory_Report_2014.pdf,https://www.csb.gov/assets/1/20/chevron_regulatory_report_11102014_final_-_post.pdf,CSB Regulatory Report for Chevron Richmond Refinery 2012 with findings on corrosion inspection failures and process hazard analysis gaps,AUTHORITATIVE,2026-07-20,1876
CSB_Marathon_Martinez_FiredHeater_2025.pdf,incident_reports,corpus/incident_reports/CSB_Marathon_Martinez_FiredHeater_2025.pdf,https://www.csb.gov/assets/1/6/marathon_martinez_2025-03-12_forpublication.pdf,CSB Investigation Report 2025 for Marathon Martinez Renewables - fired heater tube rupture and fire at renewable fuels facility,AUTHORITATIVE,2026-07-20,4210
CSB_Macondo_Deepwater_Horizon_Final_Vol3.pdf,incident_reports,corpus/incident_reports/CSB_Macondo_Deepwater_Horizon_Final_Vol3.pdf,https://www.csb.gov/assets/1/20/macondo_vol3_final_20160527.pdf,CSB Final Investigation Report Vol 3 for Macondo/Deepwater Horizon Blowout 2010 - 11 fatalities with blowout preventer failure analysis,AUTHORITATIVE,2026-07-20,5425
CSB_Impact_Report_2016.pdf,incident_reports,corpus/incident_reports/CSB_Impact_Report_2016.pdf,https://www.csb.gov/assets/1/6/CSB_Impact_Report_2016_web.pdf,CSB Impact Report 2016 summarising investigation outcomes and ammonium nitrate explosion findings from West Texas incident,AUTHORITATIVE,2026-07-20,446
CSB_Business_Case_for_Safety.pdf,incident_reports,corpus/incident_reports/CSB_Business_Case_for_Safety.pdf,https://www.csb.gov/assets/1/6/csb_business_case_for_safety.pdf,CSB Business Case for Safety - economic and operational justification for process safety investment based on incident investigation data,AUTHORITATIVE,2026-07-20,920
CSB_FY2025_Annual_Report.pdf,incident_reports,corpus/incident_reports/CSB_FY2025_Annual_Report.pdf,https://www.csb.gov/assets/1/6/CSB_FY25_Final_Report_for_publish1.pdf,CSB FY2025 Annual Performance Report covering agency investigation activities ongoing cases and safety recommendation tracking,AUTHORITATIVE,2026-07-20,277
DGMS_Safety_Alert_Tyre_Assembly_2025.pdf,incident_reports,corpus/incident_reports/DGMS_Safety_Alert_Tyre_Assembly_2025.pdf,https://www.dgms.gov.in/writereaddata/UploadFile/Safety15_25092025.pdf,DGMS Safety Alert 15/2025 for fatal accident at opencast mine due to compressed air release from tyre assembly with prevention recommendations,AUTHORITATIVE,2026-07-20,786
OSHA_PSM_Guidelines_3132.pdf,incident_reports,corpus/incident_reports/OSHA_PSM_Guidelines_3132.pdf,https://www.osha.gov/sites/default/files/publications/osha3132.pdf,OSHA Process Safety Management Guidelines publication 3132 - regulatory framework for preventing catastrophic chemical releases and explosions,AUTHORITATIVE,2026-07-20,199
ILO_Prevention_Major_Industrial_Accidents.pdf,incident_reports,corpus/incident_reports/ILO_Prevention_Major_Industrial_Accidents.pdf,http://www.ilo.org/wcmsp5/groups/public/---ed_protect/---protrav/---safework/documents/normativeinstrument/wcms_107829.pdf,ILO Convention 174 Prevention of Major Industrial Accidents 1993 - international standard for major hazard control in petrochemical and process industries,AUTHORITATIVE,2026-07-20,595
ILO_Industrial_Safety_Guidelines.pdf,incident_reports,corpus/incident_reports/ILO_Industrial_Safety_Guidelines.pdf,https://www.ilo.org/media/317236/download,ILO Industrial Safety Guidelines covering workplace safety management systems in industrial operations,AUTHORITATIVE,2026-07-20,577
ILO_Major_Hazard_Control_Training.pdf,incident_reports,corpus/incident_reports/ILO_Major_Hazard_Control_Training.pdf,http://www.ilo.org/wcmsp5/groups/public/---ed_dialogue/---sector/documents/instructionalmaterial/wcms_161746.pdf,ILO Major Hazard Control Training Material for identifying and controlling major industrial hazards including process industries,AUTHORITATIVE,2026-07-20,154
SKF_Bearing_Installation_Maintenance_Guide.pdf,maintenance_data,corpus/maintenance_data/SKF_Bearing_Installation_Maintenance_Guide.pdf,http://www.bearing.net.au/wp-content/uploads/2015/06/SKF-Bearings-Installation.pdf,SKF Bearing Installation and Maintenance Guide with comprehensive procedures for mounting dismounting lubrication and condition monitoring of industrial bearings,AUTHORITATIVE,2026-07-20,4046
SKF_Practical_Guide_Bearing_Service_Life.pdf,maintenance_data,corpus/maintenance_data/SKF_Practical_Guide_Bearing_Service_Life.pdf,https://www.skf.com/binaries/pub12/Images/0901d1968024f02a-SKF_BIMG_140-710_June_2021_tcm_12-114679.pdf,SKF Practical Guide to Extending Bearing Service Life with maintenance best practices for rotating equipment reliability,AUTHORITATIVE,2026-07-20,6325
SKF_Rolling_Bearings_Electric_Motors_Handbook.pdf,maintenance_data,corpus/maintenance_data/SKF_Rolling_Bearings_Electric_Motors_Handbook.pdf,https://7000765.fs1.hubspotusercontent-na1.net/hubfs/7000765/Knowledge%20Base/SKF/SKF%20Rolling%20Bearings%20in%20Electric%20Motors%20and%20Generators.pdf,SKF Rolling Bearings in Electric Motors and Generators application handbook for motor bearing selection maintenance and failure diagnosis,AUTHORITATIVE,2026-07-20,2263
NASA_CMAPSS_Data_Description.pdf,maintenance_data,corpus/maintenance_data/NASA_CMAPSS_Data_Description.pdf,https://ti.arc.nasa.gov/tech/dash/groups/pcoe/prognostic-data-repository/publications/CMAPSS%20Data%20Description.pdf,NASA CMAPSS turbofan engine degradation simulation dataset description - benchmark dataset for predictive maintenance and remaining useful life prediction,AUTHORITATIVE,2026-07-20,336
NASA_CMAPSS_Readme_page.pdf,maintenance_data,corpus/maintenance_data/NASA_CMAPSS_Readme_page.pdf,https://ti.arc.nasa.gov/c/6/,NASA Prognostics CoE data repository landing page for CMAPSS turbofan engine degradation dataset with download links and usage notes,AUTHORITATIVE,2026-07-20,285
OSHA_4105_Maintenance_Inspection_Guide.pdf,maintenance_data,corpus/maintenance_data/OSHA_4105_Maintenance_Inspection_Guide.pdf,https://www.osha.gov/sites/default/files/publications/OSHA4105.pdf,OSHA Publication 4105 maintenance and inspection guide for industrial equipment covering planned maintenance systems and inspection checklists,AUTHORITATIVE,2026-07-20,806
DGMS_Annual_Report_2012.pdf,maintenance_data,corpus/maintenance_data/DGMS_Annual_Report_2012.pdf,https://www.dgms.gov.in/writereaddata/UploadFile/DGMS_AR_2012636047836501628259-12.pdf,DGMS Annual Report 2012 with mines safety statistics equipment failure data and accident causes analysis for Indian mining sector,AUTHORITATIVE,2026-07-20,4071
OISD_Training_Brochure_2019.pdf,maintenance_data,corpus/maintenance_data/OISD_Training_Brochure_2019.pdf,https://www.oisd.gov.in/public/assets/upload/Publications/1717003707_b1d050d65db7a24f3c02.pdf,OISD Training Brochure 2019 covering maintenance and inspection training programmes for oil and gas industry personnel in India,AUTHORITATIVE,2026-07-20,6738
